settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-29,31.0,183.0,2776.887,2806.334
2020-12-29,32.0,17.0,2776.887,2806.334
2020-12-29,33.0,0.0,3058.133,2802.709
2020-12-29,34.0,0.0,3058.133,2802.709
2020-12-29,35.0,0.0,3357.501,2845.439
2020-12-29,36.0,0.0,3357.501,2845.439
2020-12-29,37.0,0.0,3713.487,2891.855
2020-12-29,38.0,0.0,3713.487,2891.855
2020-12-29,39.0,0.0,3927.324,2863.635
2020-12-29,40.0,0.0,3927.324,2863.635
2020-12-29,41.0,0.0,4278.3,2820.508
2020-12-29,42.0,0.0,4278.3,2820.508
2020-12-29,43.0,0.0,4586.701,2856.598
2020-12-29,44.0,0.0,4586.701,2856.598
2020-12-29,45.0,0.0,4765.095,2742.288
2020-12-29,46.0,0.0,4765.095,2742.288
2020-12-29,47.0,0.0,4897.757,2698.342
2020-12-29,48.0,0.0,4897.757,2698.342
2020-12-30,1.0,0.0,4963.007,2669.702
2020-12-30,2.0,0.0,4963.007,2669.702
2020-12-30,3.0,0.0,5058.669,2535.422
2020-12-30,4.0,0.0,5058.669,2535.422
2020-12-30,5.0,0.0,4913.568,2428.974
2020-12-30,6.0,0.0,4913.568,2428.974
2020-12-30,7.0,0.0,4780.66,2293.97
2020-12-30,8.0,0.0,4780.66,2293.97
2020-12-30,9.0,0.0,4746.384,2190.189
2020-12-30,10.0,0.0,4746.384,2190.189
2020-12-30,11.0,0.0,4471.035,2037.414
2020-12-30,12.0,0.0,4471.035,2037.414
2020-12-30,13.0,0.0,4218.023,1886.956
2020-12-30,14.0,0.0,4218.023,1886.956
2020-12-30,15.0,0.0,3749.79,1777.051
2020-12-30,16.0,0.0,3749.79,1777.051
2020-12-30,17.0,74.0,3315.662,1656.619
2020-12-30,18.0,315.0,3315.662,1656.619
2020-12-30,19.0,789.0,3054.509,1586.838
2020-12-30,20.0,1365.0,3054.509,1586.838
2020-12-30,21.0,1881.0,2766.513,1536.0
2020-12-30,22.0,2258.0,2766.513,1536.0
2020-12-30,23.0,2456.0,2527.897,1485.19
2020-12-30,24.0,2499.0,2527.897,1485.19
2020-12-30,25.0,2422.0,2278.561,1463.791
2020-12-30,26.0,2232.0,2278.561,1463.791
2020-12-30,27.0,1932.0,2044.011,1495.429
