settlementDate,settlementPeriod,Generation forecast Production
2021-01-03,44.0,31263.0
2021-01-03,45.0,30567.0
2021-01-03,46.0,30356.0
2021-01-03,47.0,29556.0
2021-01-03,48.0,28683.0
2021-01-04,1.0,25634.0
2021-01-04,2.0,25685.0
2021-01-04,3.0,25681.0
2021-01-04,4.0,25585.0
2021-01-04,5.0,25320.0
2021-01-04,6.0,25427.0
2021-01-04,7.0,25534.0
2021-01-04,8.0,25650.0
2021-01-04,9.0,25726.0
2021-01-04,10.0,25808.0
2021-01-04,11.0,26033.0
2021-01-04,12.0,26744.0
2021-01-04,13.0,28940.0
2021-01-04,14.0,32623.0
2021-01-04,15.0,36524.0
2021-01-04,16.0,38195.0
2021-01-04,17.0,39916.0
2021-01-04,18.0,40736.0
2021-01-04,19.0,41628.0
2021-01-04,20.0,42278.0
2021-01-04,21.0,42915.0
2021-01-04,22.0,43251.0
2021-01-04,23.0,43649.0
2021-01-04,24.0,44028.0
2021-01-04,25.0,44141.0
2021-01-04,26.0,44137.0
2021-01-04,27.0,44076.0
2021-01-04,28.0,43945.0
2021-01-04,29.0,43802.0
2021-01-04,30.0,43765.0
2021-01-04,31.0,43685.0
2021-01-04,32.0,43619.0
2021-01-04,33.0,43979.0
2021-01-04,34.0,44403.0
2021-01-04,35.0,44704.0
2021-01-04,36.0,44606.0
2021-01-04,37.0,44327.0
2021-01-04,38.0,43982.0
2021-01-04,39.0,42894.0
2021-01-04,40.0,41799.0
2021-01-04,41.0,40943.0
2021-01-04,42.0,39015.0
2021-01-04,43.0,37376.0
2021-01-04,44.0,35573.0
2021-01-04,45.0,33447.0
2021-01-04,46.0,31452.0
2021-01-04,47.0,29082.0
2021-01-04,48.0,28157.0
2021-01-05,1.0,28886.0
2021-01-05,2.0,28986.0
2021-01-05,3.0,29278.0
2021-01-05,4.0,29197.0
2021-01-05,5.0,28731.0
2021-01-05,6.0,28696.0
2021-01-05,7.0,27825.0
2021-01-05,8.0,27598.0
2021-01-05,9.0,27331.0
2021-01-05,10.0,27264.0
2021-01-05,11.0,28535.0
2021-01-05,12.0,29208.0
2021-01-05,13.0,30430.0
2021-01-05,14.0,32268.0
2021-01-05,15.0,35326.0
2021-01-05,16.0,35934.0
2021-01-05,17.0,36369.0
2021-01-05,18.0,36946.0
2021-01-05,19.0,37540.0
2021-01-05,20.0,38056.0
2021-01-05,21.0,38616.0
2021-01-05,22.0,38992.0
2021-01-05,23.0,39320.0
2021-01-05,24.0,39378.0
2021-01-05,25.0,39369.0
2021-01-05,26.0,39286.0
2021-01-05,27.0,39248.0
2021-01-05,28.0,39207.0
2021-01-05,29.0,39716.0
2021-01-05,30.0,40794.0
2021-01-05,31.0,41852.0
2021-01-05,32.0,42159.0
2021-01-05,33.0,42607.0
2021-01-05,34.0,43023.0
2021-01-05,35.0,43161.0
2021-01-05,36.0,43301.0
2021-01-05,37.0,43086.0
2021-01-05,38.0,42765.0
2021-01-05,39.0,41731.0
2021-01-05,40.0,40749.0
2021-01-05,41.0,39629.0
2021-01-05,42.0,38730.0
2021-01-05,43.0,36826.0
2021-01-05,44.0,34040.0
2021-01-05,45.0,32523.0
2021-01-05,46.0,31164.0
2021-01-05,47.0,29003.0
2021-01-05,48.0,26886.0
2021-01-06,1.0,29684.0
2021-01-06,2.0,29343.0
2021-01-06,3.0,28843.0
2021-01-06,4.0,28664.0
2021-01-06,5.0,28522.0
2021-01-06,6.0,28375.0
2021-01-06,7.0,28306.0
2021-01-06,8.0,28198.0
2021-01-06,9.0,28048.0
2021-01-06,10.0,27973.0
2021-01-06,11.0,28183.0
2021-01-06,12.0,28632.0
2021-01-06,13.0,31647.0
2021-01-06,14.0,35192.0
2021-01-06,15.0,39648.0
2021-01-06,16.0,40247.0
2021-01-06,17.0,40483.0
2021-01-06,18.0,40596.0
2021-01-06,19.0,40992.0
2021-01-06,20.0,41201.0
2021-01-06,21.0,41493.0
2021-01-06,22.0,41778.0
2021-01-06,23.0,42129.0
2021-01-06,24.0,42335.0
2021-01-06,25.0,42842.0
2021-01-06,26.0,43002.0
2021-01-06,27.0,42818.0
2021-01-06,28.0,42629.0
2021-01-06,29.0,42532.0
2021-01-06,30.0,42304.0
2021-01-06,31.0,41452.0
2021-01-06,32.0,41286.0
2021-01-06,33.0,41814.0
2021-01-06,34.0,42244.0
2021-01-06,35.0,42459.0
2021-01-06,36.0,42786.0
2021-01-06,37.0,42784.0
2021-01-06,38.0,42709.0
2021-01-06,39.0,42150.0
2021-01-06,40.0,41540.0
2021-01-06,41.0,40979.0
2021-01-06,42.0,40471.0
2021-01-06,43.0,39242.0
2021-01-06,44.0,38534.0
2021-01-06,45.0,37686.0
2021-01-06,46.0,37233.0
2021-01-06,47.0,33367.0
2021-01-06,48.0,29914.0
2021-01-07,1.0,29612.0
2021-01-07,2.0,29513.0
